Block,Treatment,Quad,Species_Code,Count,Turf,Date
2,NonNative,2,DAUCAR,3,NA,Winter 2019
2,NonNative,2,SONOLE,1,NA,Winter 2019
2,NonNative,2,CYNDAC,2,NA,Winter 2019
2,NonNative,2,UNK5,1,NA,Winter 2019
2,NonNative,2,UNK6,1,NA,Winter 2019
2,NonNative,2,UNKCOT,1,NA,Winter 2019
2,Native,3,ANAARV,1,NonTurf,Winter 2019
2,Native,3,ERIFAS,1,NonTurf,Winter 2019
2,Native,3,CYNDAC,1,NonTurf,Winter 2019
2,Native,3,UNK7,2,NonTurf,Winter 2019
2,Native,3,SONSPP,1,NonTurf,Winter 2019
2,Native,4,CYNDAC,1,NA,Winter 2019
3,Native,5,CYNDAC,8,NA,Winter 2019
3,Native,5,EUPALB,1,NA,Winter 2019
3,Native,5,UNK5,2,NA,Winter 2019
3,Native,5,UNK7,56,NA,Winter 2019
3,Native,5,ANAARV,1,NA,Winter 2019
3,Native,5,UNK8,1,NA,Winter 2019
3,Native,5,OXASPP,1,NA,Winter 2019
3,Native,5,MEDSPP,1,NA,Winter 2019
3,Native,5,UNK6,1,NA,Winter 2019
3,Native,6,UNK7,1,NA,Winter 2019
3,Native,6,CYNDAC,6,NA,Winter 2019
3,Native,6,DAUCAR,1,NA,Winter 2019
3,Native,6,UNKCOT,1,NA,Winter 2019
3,NonNative,7,DAUCAR,3,NA,Winter 2019
3,NonNative,7,OXASPP,3,NA,Winter 2019
3,NonNative,7,CYNDAC,1,NA,Winter 2019
3,NonNative,8,PENSPA,1,NA,Winter 2019
3,NonNative,8,DAUCAR,2,NA,Winter 2019
3,NonNative,8,SONSPP,1,NA,Winter 2019
3,NonNative,8,UNK7,1,NA,Winter 2019
3,NonNative,8,EUPALB,1,NA,Winter 2019
3,NonNative,8,UNKCOT,1,NA,Winter 2019
1,Native,10,CYNDAC,11,NA,Winter 2019
1,Native,10,EUPALB,4,NA,Winter 2019
1,Native,10,UNK6,1,NA,Winter 2019
1,Native,10,SONSPP,1,NA,Winter 2019
1,NonNative,11,CYNDAC,3,NA,Winter 2019
1,NonNative,11,UNK7,1,NA,Winter 2019
1,NonNative,12,UNK5,1,NA,Winter 2019
1,NonNative,12,VINMAJ,1,NA,Winter 2019
1,NonNative,12,OXASPP,1,NA,Winter 2019
1,NonNative,12,UNK6,1,NA,Winter 2019
2,Native,3,SONOLE,1,Turf,Spring 2018
2,Native,3,CYNDAC,640,Turf,Spring 2018
2,Native,4,CYNDAC,640,Turf,Spring 2018
2,Native,4,SONOLE,1,Turf,Spring 2018
2,Native,4,OXACOR,3,Turf,Spring 2018
3,Native,5,CYNDAC,624,Turf,Spring 2018
3,Native,6,CYNDAC,600,Turf,Spring 2018
3,Native,6,MEDLUP,47,Turf,Spring 2018
3,Native,6,OXACOR,11,Turf,Spring 2018
3,Native,6,UN(03),1,Turf,Spring 2018
1,Native,9,CYNDAC,8,NonTurf,Spring 2018
1,Native,9,LONJAP,2,NonTurf,Spring 2018
1,Native,10,IPOHED,0,NonTurf,Spring 2018
1,Native,10,LONJAP,1,NonTurf,Spring 2018
1,Native,10,CYNDAC,2,NonTurf,Spring 2018
1,Native,10,VINMAJ,37,NonTurf,Spring 2018
2,NonNative,1,EPICAN,1,NA,Fall 2018
2,NonNative,2,CYNDAC,5,NA,Fall 2018
2,Native,3,CYNDAC,4,NA,Fall 2018
2,Native,4,SALAPI,1,NA,Fall 2018
1,Native,9,CYNDAC,6,NA,Fall 2018
1,Native,10,VINMAJ,2,NA,Fall 2018
1,NonNative,12,CYNDAC,2,NA,Fall 2018
1,NonNative,12,UNK3,1,NA,Fall 2018
3,Native,6,CYNDAC,19,NA,Fall 2018
3,Native,5,CYNDAC,2,NA,Fall 2018
3,NonNative,7,CYNDAC,5,NA,Fall 2018
3,NonNative,8,ACHTOM,2,NA,Fall 2018
3,NonNative,8,CYNDAC,7,NA,Fall 2018
3,NonNative,8,UNK4,1,NA,Fall 2018
