Date,Treatment,Block,Species,Tag_Num,StomCon1,StomCon2,StomCon3
2018-11-02,Native,1.0,SALAPI,1.0,4.4,4.5,3.9
2018-11-02,Native,1.0,SALAPI,2.0,1.5,1.3,2.0
2018-11-02,Native,1.0,SALAPI,3.0,2.0,1.3,1.8
2018-11-02,Native,1.0,SALAPI,4.0,1.4,1.5,1.4
2018-11-02,Native,1.0,SALAPI,5.0,2.0,1.9,2.9
2018-11-02,Native,2.0,SALAPI,6.0,2.3,3.6,2.1
2018-11-02,Native,2.0,SALAPI,7.0,2.5,3.0,2.8
2018-11-02,Native,2.0,SALAPI,8.0,4.7,3.6,7.5
2018-11-02,Native,2.0,SALAPI,9.0,4.6,3.2,1.6
2018-11-02,Native,2.0,SALAPI,10.0,3.6,2.7,2.3
2018-11-02,NonNative,1.0,LAVGIN,1.0,1.5,1.0,1.1
2018-11-02,NonNative,1.0,LAVGIN,2.0,0.9,1.1,0.8
2018-11-02,NonNative,1.0,LAVGIN,3.0,0.8,1.3,1.2
2018-11-02,NonNative,1.0,LAVGIN,4.0,1.1,1.7,1.7
2018-11-02,NonNative,1.0,LAVGIN,5.0,1.2,1.4,1.4
2018-11-02,NonNative,2.0,LAVGIN,6.0,4.2,7.1,6.6
2018-11-02,NonNative,2.0,LAVGIN,7.0,1.1,1.2,1.1
2018-11-02,NonNative,2.0,LAVGIN,8.0,1.8,3.9,3.1
2018-11-02,NonNative,3.0,LAVGIN,9.0,3.2,3.1,3.1
2018-11-02,NonNative,3.0,LAVGIN,10.0,1.8,1.0,2.7
2018-11-16,NonNative,2.0,LAVGIN,6.0,45.4,28.1,31.3
2019-03-10,NonNative,2.0,LAVGIN,6.0,76.9,79.6,20.2
2019-03-06,NonNative,1.0,LAVGIN,3.0,199.0,88.0,89.0
2018-11-16,NonNative,1.0,LAVGIN,1.0,131.2,141.2,109.4
2018-11-16,NonNative,2.0,LAVGIN,8.0,98.7,194.8,98.5
2019-03-10,NonNative,2.0,LAVGIN,8.0,127.5,133.8,174.6
2018-11-16,NonNative,2.0,LAVGIN,7.0,118.1,171.9,184.4
2019-03-06,NonNative,1.0,LAVGIN,5.0,171.0,198.0,175.0
2019-03-06,NonNative,1.0,LAVGIN,4.0,194.0,155.0,205.0
2019-03-06,NonNative,1.0,LAVGIN,1.0,301.0,165.0,92.0
2019-03-10,NonNative,2.0,LAVGIN,7.0,184.2,267.8,149.7
2019-03-06,NonNative,1.0,LAVGIN,2.0,368.0,247.0,224.0
2019-03-10,NonNative,3.0,LAVGIN,9.0,406.3,335.0,359.6
2018-11-16,NonNative,3.0,LAVGIN,10.0,355.0,321.6,452.3
2018-11-16,NonNative,1.0,LAVGIN,4.0,378.4,605.3,373.8
2019-03-10,NonNative,3.0,LAVGIN,10.0,536.8,540.7,292.6
2018-11-16,NonNative,3.0,LAVGIN,9.0,137.8,977.7,280.4
2018-11-16,NonNative,1.0,LAVGIN,2.0,335.5,608.3,483.3
2018-11-16,NonNative,1.0,LAVGIN,5.0,637.6,391.1,423.4
2018-11-16,NonNative,1.0,LAVGIN,3.0,691.9,588.7,515.8
2019-03-10,Native,2.0,SALAPI,8.0,75.8,113.6,106.8
2019-03-06,Native,1.0,SALAPI,3.0,122.0,124.0,122.0
2019-03-06,Native,1.0,SALAPI,4.0,127.0,188.0,105.0
2019-03-06,Native,1.0,SALAPI,5.0,187.0,202.0,131.0
2019-03-10,Native,2.0,SALAPI,7.0,186.3,113.5,255.7
2019-03-10,Native,2.0,SALAPI,6.0,192.5,246.6,181.3
